id,text,url,processed_gpe,predicted_model,heirarchical_without_sm_geonames,more_flag_h,mixtral_spacy,svm,svm_1,mixtral,local_path
00008.jsonl.gz-9308652,"Hachigian and daughter Sosi in the renovated kitchen, which opens up to an outdoor dining terrace. The dining table was reconditioned from a language lab, its top wrapped in stainless steel. Dining chairs are by Kartell.",https://d3df8ea8ea59eq.cloudfront.net/photos/6063391372700811264/6133447795505102848/large.jpg,Hachigian,lg,no,False,no,1,1,armenia,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00008.jsonl.gz-9308652.jpg
00092.jsonl.gz-11639437,Euro Kitchen Design Tonk Nv  Aruba Real Estate Online,https://tse3.mm.bing.net/th?id=OIP.w9grrxUg_vDqOTJJEJcnswHaD1&w=230&h=230&rs=1&pcl=dddddd&o=5&pid=1.1,Aruba,md,"nepal_bonaire, sint eustatius and saba_indonesia_ghana_aruba_colombia_philippines_kenya",True,aruba,1,1,aruba,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00092.jsonl.gz-11639437.jpg
00085.jsonl.gz-13208457,Aruba Breeze Condominium: Kitchen,https://media-cdn.tripadvisor.com/media/photo-s/03/14/d5/c0/pearl-condominium-resort.jpg,Aruba,md,"nepal_bonaire, sint eustatius and saba_indonesia_ghana_aruba_colombia_philippines_kenya",True,aruba,1,1,aruba,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00085.jsonl.gz-13208457.jpg
00076.jsonl.gz-3757341,"Villa Kitchen  The fully equipped kitchen in your Aruba villa rental features full-size appliances to prepare savory, home-cooked meals for you and your family.",https://a0.muscache.com/im/pictures/8d771f31-f867-455c-9ae5-9faa6284de96.jpg?aki_policy=x_large,Aruba,sm,"nepal_bonaire, sint eustatius and saba_indonesia_ghana_aruba_colombia_philippines_kenya",True,aruba,1,1,aruba,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00076.jsonl.gz-3757341.jpg
00123.jsonl.gz-10199164,Yatala Kitchen Renovation 1,https://www.craftbuilt.com.au/wp-content/uploads/2018/09/Yatala-Kitchen-Renovation-1.png,yatala 1,,no,False,no,1,1,australia,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00123.jsonl.gz-10199164.jpg
00088.jsonl.gz-8536879,kitchen designs sydney tile floors metal splashbacks for kitchens second hand island,http://t0.gstatic.com/images?q=tbn:ANd9GcQd8PUvmt0zM-HhDQ1Y_N51aMcxohekUk2iEyrW-FVDR1C2d2uf,designs sydney floors splashbacks kitchens,,no,False,no,1,1,australia,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00088.jsonl.gz-8536879.jpg
00046.jsonl.gz-17210798,"Dining, Living, Kitchen - St Clair Luxury Two Storey Home - McDonald Jones",https://www.mcdonaldjoneshomes.com.au/sites/default/files/styles/image_gallery/public/st-clair-37-one-dining-alfresco-kitchen-living_0.jpg?itok=pTuZ77gt,"dining, living, - clair storey - mcdonald",,no,False,no,1,1,australia,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00046.jsonl.gz-17210798.jpg
00038.jsonl.gz-7880114,"Kachelofen (mass heater) with stovetop and bread oven Cozy Cabin, Cozy House, Small Space Living, Small Spaces, Antique Kitchen Stoves, Vintage Stoves, Rustic Kitchen Design, Stove Fireplace, Tiny House On Wheels",https://i.pinimg.com/236x/a0/ca/44/a0ca44159d7b683b81bbb7568e5c4c9d--bread-oven-stove-oven.jpg,"kachelofen (mass heater) stovetop cabin, house, living, spaces, stoves, stoves, design, fireplace, wheels",,no,False,no,0,1,austria,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00038.jsonl.gz-7880114.jpg
00041.jsonl.gz-1199065,A kitchen or kitchenette at Alpe-Adria Apartments,https://cf.bstatic.com/xdata/images/hotel/max500/245037279.jpg?k=cfc3e9f8683eb1bdb8941654f058e09730ebb13792f9431b1da5125165bc26f7&o=&hp=1,alpe-adria apartments,,no,False,no,1,1,austria,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00041.jsonl.gz-1199065.jpg
00096.jsonl.gz-17520560,"6 new apartements at the Bergwald in Alpbach await you. In typical Alpbach style, well equipped with kitchen, nice and comfortable.  We are looking forward to welcome you here at the Bergwald in Alpbach Family Moser PS Book direct on our website bergwald c o m",https://media-cdn.tripadvisor.com/media/photo-s/17/ed/fc/14/6-new-apartements-at.jpg,Bergwald_Alpbach_Alpbach_Bergwald_Alpbach,sm,switzerland_austria_germany,True,austria,1,1,austria,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00096.jsonl.gz-17520560.jpg
00069.jsonl.gz-1301998,WOODEN KITCHEN: Кухни в . Автор – ILKIN GURBANOV Studio,"https://images.homify.com/c_fill,f_auto,q_auto,w_740/v1438957721/p/photo/image/806455/11263139_554296381376451_842447876701899193_o.jpg",WOODEN,md,sri lanka_united kingdom,True,azerbaijan,1,1,azerbaijan,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00069.jsonl.gz-1301998.jpg
00054.jsonl.gz-12655371,Beach Kitchen by Miles Redd in Lyford Cay Bahamas,https://media.architecturaldigest.com/photos/58d52f4fe34bbc355f09ae24/master/w_320%2Cc_limit/beach-kitchen-miles-redd-lyford-cay-bahamas-201308_1000-watermarked.jpg,Lyford Cay Bahamas,trf,no,False,no,1,1,bahamas,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00054.jsonl.gz-12655371.jpg
00119.jsonl.gz-5536513,Bahama white Granite Kitchen Island. granite kitchen,https://i.pinimg.com/originals/37/f4/32/37f43223baf2287364d12120fed3412a.jpg,Bahama,md,italy_pakistan_sierra leone_united states,True,bahamas,1,1,bahamas,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00119.jsonl.gz-5536513.jpg
00044.jsonl.gz-8556985,Reproduction Antique Bakery Sign Farmhouse Rustic Wood Sign Farmhouse Sign Kitchen Decor Vintage Farm Sign Shabby Chic Subway Art Home Decor My Vintage Farmhouse Buy Online In Bahamas At Desertcart Productid 44366841,https://images-na.ssl-images-amazon.com/images/I/51kH3snElAL.jpg,Bahamas,sm,spain_bahamas_uruguay_brazil,True,bahamas,0,1,bahamas,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00044.jsonl.gz-8556985.jpg
00028.jsonl.gz-14454785,Kitchen facilities at Swiss-Belresidences Juffair,https://cdn.silverdoorapartments.com/property/15915/image/image_5cb87c4fac60f1_48119459.jpg,facilities swiss-belresidences juffair,,no,False,no,1,1,bahrain,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00028.jsonl.gz-14454785.jpg
00022.jsonl.gz-5939496,"RIFFA, BAHRAIN - MARCH 02, 2019: Interior kitchen space of a modern villa in a Middle Eastern, high-end, luxury housing development on a sunny day with strong shadows.",https://image.shutterstock.com/image-photo/riffa-bahrain-march-02-2019-260nw-1493641526.jpg,RIFFA_BAHRAIN,trf,pakistan_bahrain,True,bahrain,1,1,bahrain,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00022.jsonl.gz-5939496.jpg
00085.jsonl.gz-4384434,A traditional outdoor kitchen in the outskirts of Dhaka. Notice the wall blackened by years of soot. Research work for Global Alliance for Clean Cookstoves (June 2016),https://purplewoodbd.files.wordpress.com/2016/06/ics-2.jpg?w=212&h=212&crop=1,Dhaka,trf,india_pakistan_bangladesh_nepal,True,bangladesh,0,1,bangladesh,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00085.jsonl.gz-4384434.jpg
00001.jsonl.gz-4931411,Best Home Interior Design Bangladesh #8481 Awesome Duplex Home Plans And Designs Images Decorating Design 6 Bedrooms House In 360m2 18m X 20mclick On This Marvellous Companies Bangladesh On Ideas Homes Abc Tin Shed In Youtube Lighting Software Free Decoration Simply Interior Coolest Kitchen Cabinet M21 About Amusing Pictures Best Inspiration Home Door For Houses Wholhildprojectorg Christmas Remodeling Ipirations,https://t0.gstatic.com/images?q=tbn:ANd9GcRYAUNBeYEgNTExxiCxv1dMS3SanxtrczOm67etcI_dTEOaKtnHCw,Bangladesh_Bangladesh,trf,bangladesh,False,bangladesh,1,1,bangladesh,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00001.jsonl.gz-4931411.jpg
00031.jsonl.gz-6031328,kitchen design in bangladesh 42 best kitchen cabinet images on dressers 220,https://i.pinimg.com/736x/83/86/28/838628b3e43a642ec5c6f2f7da0f4b6e.jpg,bangladesh,trf,bangladesh,False,bangladesh,1,1,bangladesh,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00031.jsonl.gz-6031328.jpg
00074.jsonl.gz-11668416,Galley Kitchen with pass through to Living Area - One Bedroom Condo on the south coast of Barbados - Christ Church - rentals,https://tap2.fkimg.com/media/vr-splice-j/00/15/aa/db.jpg,Barbados,trf,barbados_brazil,True,barbados,1,1,barbados,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00074.jsonl.gz-11668416.jpg
00005.jsonl.gz-5672657,reeds-house-1-penthouse-barbados-kitchen,https://www.barbadosbarbados.com/wp-content/uploads/2016/02/reeds-house-1-penthouse-barbados-kitchen-300x194.jpg,barbados,lg,barbados_brazil,True,barbados,1,1,barbados,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00005.jsonl.gz-5672657.jpg
00038.jsonl.gz-8976695,"Private Kitchen, Caribbean Villas Hotel",https://images.trvl-media.com/hotels/4000000/3740000/3733100/3733087/6b749543_z.jpg,"kitchen, villas",,no,False,no,1,1,barbados,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00038.jsonl.gz-8976695.jpg
00053.jsonl.gz-13946459,"MINSK, BELARUS - FEBRUARY 1, 2013: Panorama in interior stylish kitchen in modern flat in pastel color. Full 360 degree seamless royalty free stock photo",https://thumbs.dreamstime.com/b/minsk-belarus-february-panorama-interior-stylish-kitchen-modern-flat-pastel-color-full-degree-seamless-equirectangular-138924715.jpg,MINSK_BELARUS,trf,belarus_russian federation,True,belarus,1,1,belarus,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00053.jsonl.gz-13946459.jpg
00100.jsonl.gz-3097838,2-bedroom Apartment Minsk Lyeninski Rayon with-balcony and with kitchen,https://img.book-travel.net/praspiektniezalieznasci/apartment-15590-minsk-1_w100h100a1c1bgcfff.jpg,Minsk,trf,belarus_russian federation,True,belarus,1,1,belarus,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00100.jsonl.gz-3097838.jpg
00088.jsonl.gz-6401759,1-bedroom Minsk Lyeninski Rayon with kitchen for 4 persons,https://img.book-travel.net/praspiektniezalieznasci/area-34916-07-minsk_w100h100a1c1bgcfff.jpg,Minsk,trf,belarus_russian federation,True,belarus,0,1,belarus,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00088.jsonl.gz-6401759.jpg
00109.jsonl.gz-2749101,FC   Fred Constant   Keukens · Kitchen IdeasConcrete,https://i.pinimg.com/originals/54/e4/02/54e40286013e8cad8b726f490248ad38.jpg,fc keukens · ideasconcrete,,no,False,no,1,1,belgium,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00109.jsonl.gz-2749101.jpg
00117.jsonl.gz-17154146,"Aumas designed the kitchen island, which is covered in marble tiles from Carrelages du Marais—the geometric floor tiles are from the same place—and strung the matrix of lights up above it. The barstools by Charlotte Perriand were discovered in a vintage store in Antwerp, Belgium. The green wall is covered in paint from Emery & Cie.",https://i.pinimg.com/736x/2a/11/82/2a1182ab38a2026ad087690bc20e8043.jpg,Carrelages du Marais_Antwerp_Belgium,sm,belgium_south africa_united states_australia,True,belgium/no,0,1,belgium,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00117.jsonl.gz-17154146.jpg
00093.jsonl.gz-7450107,"Made-to-measure painted wood kitchen, sideboards, bespoke Belgian blue stone work surface and deep sink, mixture of aged teak and Belgian bl...",https://i.pinimg.com/236x/87/44/04/874404e98467532b0d2d39a3c081e034--grey-cabinets-taupe-kitchen-cabinets.jpg,"made-to-measure kitchen, sideboards, sink, bl...",,no,False,no,1,1,belgium,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00093.jsonl.gz-7450107.jpg
00092.jsonl.gz-2620170,Kitchen of our villa in San Pedro Belize at Victoria House,https://i1.wp.com/eternalarrival.com/wp-content/uploads/2017/04/victoria-house-1-of-1-2.jpg?resize=825%2C550&ssl=1,San Pedro Belize,sm,no,False,no,1,1,belize,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00092.jsonl.gz-2620170.jpg
00074.jsonl.gz-2711354,"Private Kitchen, Chabil Mar Luxury Villas - Guest Exclusive Beach Resort",https://images.trvl-media.com/hotels/2000000/1740000/1730300/1730273/2b5c2e0c_z.jpg,"kitchen, chabil villas -",,no,False,no,1,1,belize,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00074.jsonl.gz-2711354.jpg
00118.jsonl.gz-16255664,Beautiful Hardwood Kitchen for Belize properties,http://www.belizepropertyagent.com/wp-content/gallery/jen-mac-house-citrus/thumbs/thumbs_dave-003.jpg,Belize,sm,"bolivia, plurinational state of_belize_angola",True,belize,1,1,belize,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00118.jsonl.gz-16255664.jpg
00032.jsonl.gz-7228121,Kitchen Cabinets For Less by Elegant Kitchen Cabinets For Less Cochabamba,http://t0.gstatic.com/images?q=tbn:ANd9GcQ3MZN_RPeuqWSAZ86rqJspEHeP8Ewbvi8FUFQPnF4ccF6CYTy-,cabinets cabinets cochabamba,,no,False,no,1,1,bolivia,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00032.jsonl.gz-7228121.jpg
00033.jsonl.gz-2964435,Current Trends In Kitchen Cabinets by Unique Trends In Kitchen Cabinets Cochabamba,http://t0.gstatic.com/images?q=tbn:ANd9GcTE180jINPvxlcryLeDkE_L6xKOU7heeX1Hz42JAQHZLMeeOUf70w,trends cabinets trends cabinets cochabamba,,no,False,no,1,1,bolivia,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00033.jsonl.gz-2964435.jpg
00115.jsonl.gz-3150834,Custom Made Bolivian Rosewood Kitchen,https://images.custommade.com/8c6d2WWtTNrTMObfIjOE9u4WoVg=/fit-in/510x382/custommade-photosets/3596/3596.15457.jpg,,,no,False,no,1,1,bolivia,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00115.jsonl.gz-3150834.jpg
00040.jsonl.gz-9640100,Rooftop Terrace Apartment Mostar Old Town Kitchen and Dining Area,https://www.hit-booker.com/wp-content/uploads/2019/02/156817739-150x150.jpg,Mostar,md,bosnia and herzegovina,False,bosnia and herzegovina,1,1,bosnia and herzegovina,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00040.jsonl.gz-9640100.jpg
00003.jsonl.gz-18069441,Hotel Mercure Manaus: Little kitchen,https://media-cdn.tripadvisor.com/media/photo-s/02/21/21/07/mercure-apartments-manaus.jpg,mercure manaus:,,no,False,no,1,1,brazil,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00003.jsonl.gz-18069441.jpg
00106.jsonl.gz-2528364,A kitchen or kitchenette at Holiday Home Rio Mar 6,https://cf.bstatic.com/xdata/images/hotel/max500/75057529.jpg?k=927b7c4603d40a9f9f6210ff29b0dd45418c0d03e35fa6e8a5c1d6b7f9ce8075&o=&hp=1,6,,no,False,no,1,1,brazil,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00106.jsonl.gz-2528364.jpg
00049.jsonl.gz-2140179,Kitchen by Casa Container Brasil,"https://images.homify.com/c_fill,f_auto,q_0,w_740/v1479478040/p/photo/image/1707115/1463320_1016054561791548_8871111663370216724_n.jpg",casa brasil,,no,False,no,0,1,brazil,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00049.jsonl.gz-2140179.jpg
00100.jsonl.gz-3534448,Kitchen stories from the Balkans © Eugenia Maximova,https://i.pinimg.com/736x/08/e7/50/08e750cddd3688ad83d7472d300d751a--kitchen-stories-documentary-photography.jpg,stories balkans © maximova,,no,False,no,0,1,bulgaria,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00100.jsonl.gz-3534448.jpg
00022.jsonl.gz-10240301,Modern Kitchen Apartment curated hipster modernity small attic apartment in sofia leaves,https://st.hzcdn.com/fimgs/pictures/kitchens/apartment-size-kitchen-kuche-cucina-img~18f16983010fc87c_8865-1-8cc0bba-w550-h440-b0-p0.jpg,sofia,md,"nigeria_bulgaria_united states_cuba_armenia_spain_greece_italy_russian federation_madagascar_sweden_moldova, republic of_mozambique_france_portugal",True,bulgaria,1,1,bulgaria,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00022.jsonl.gz-10240301.jpg
00020.jsonl.gz-15592791,Apartment in Sliven:  Kitchen by eNArch.info,"https://images.homify.com/c_fill,f_auto,h_240,q_auto,w_240/v1489572604/p/photo/image/1905705/ApSta-kitchen-3d_pic-var020004_V.jpg",sliven: enarch.info,,no,False,no,1,1,bulgaria,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00020.jsonl.gz-15592791.jpg
00012.jsonl.gz-11716031,28640485 Vimle Kitchen Cabinets HELD khmer in phnom penh cambodia,https://i.komnit.com/store/upload/images/production_1904/13500-AIWZVH/1554367569-AIWZVH.jpg,phnom penh_cambodia,sm,cambodia_angola,False,cambodia,1,1,cambodia,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00012.jsonl.gz-11716031.jpg
00097.jsonl.gz-17445069,China Kitchen Cabinet Factory Cambodia Project Experienced ...,https://sc01.alicdn.com/kf/HTB1mZFtOFXXXXb.apXXq6xXFXXXz/200654256/HTB1mZFtOFXXXXb.apXXq6xXFXXXz.jpg,China,sm,"nepal_russian federation_peru_mozambique_philippines_mexico_tanzania, united republic of_nigeria_ghana_japan_chile_cuba_malawi_pakistan_angola_taiwan_united states_china_brazil_zambia",True,cambodia,1,1,cambodia,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00097.jsonl.gz-17445069.jpg
00025.jsonl.gz-13983736,Toul-Kork-6-bedroom-villa-for-rent-in-Boengkâk-I-kitchen-2-ipcambodia,https://i0.wp.com/cambodiarealtor.com/wp-content/uploads/2017/11/Toul-Kork-6-bedroom-villa-for-rent-in-Boengk%C3%A2k-I-kitchen-2-ipcambodia.jpg?resize=150%2C110&ssl=1,toul-kork-6-bedroom-villa-for-rent-in-boengkâk-i-kitchen-2-ipcambodia,,no,False,no,1,1,cambodia,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00025.jsonl.gz-13983736.jpg
00023.jsonl.gz-14842961,best kitchen cabinets in vancouver two toned kitchen cabinet trend,http://t0.gstatic.com/images?q=tbn:ANd9GcRv06cOZ4ShFoTvOVHEx4-XX0Q3hcH7mcrPvItONS_95g-ZWE0&s,vancouver,trf,canada_united states_philippines,True,canada,1,1,canada,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00023.jsonl.gz-14842961.jpg
00089.jsonl.gz-3251021,"Cool  Contemporary Kitchen Cabinets Canada Photo Inspirations , Breathtaking  Contemporary Kitchen Cabinets Canada Image In Kitchen Category",https://estateregional.com/wp-content/uploads/2015/06/cool-contemporary-kitchen-cabinets-canada-photo-inspirations-150x150.jpg,Canada_Canada,trf,canada_united states_belgium_italy_spain_zimbabwe_guam_brazil_united kingdom_guadeloupe_saint kitts and nevis_paraguay_south africa_france_mexico_portugal,True,canada,1,1,canada,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00089.jsonl.gz-3251021.jpg
00007.jsonl.gz-17838532,New Kitchen Renovation Project in Oakville,https://st.hzcdn.com/fimgs/43515af102d3e365_8027-w342-h200-b0-p0--moderno-cocina.jpg,Oakville,trf,canada_south africa_united states_australia,True,canada,1,1,canada,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00007.jsonl.gz-17838532.jpg
00083.jsonl.gz-13340284,Chilewich Black and White Bold Stripe Shag Floor Mat in Kitchen,https://cdn.shopify.com/s/files/1/0270/5873/products/chilewich-bold-stripe-indoor-outdoor-shag-mat-black-white-in-kitchen_medium.jpg?v=1595787615,Kitchen,sm,united states,False,united states,1,1,chile,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00083.jsonl.gz-13340284.jpg
00050.jsonl.gz-12116949,entry from the kitchen to the second dorm of the apartment we rent in Santiago de Chile. For more information visit www.internshipandtravel.cl or write us a mail to info@internshipandtravel.cl,https://i.pinimg.com/736x/8f/81/11/8f811159a0ed019eb25b39c39740d79c.jpg,Santiago de Chile,trf,no,False,no,1,1,chile,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00050.jsonl.gz-12116949.jpg
00074.jsonl.gz-15879114,STOSA CUCINE CHILE Kitchen units,"https://images.homify.com/c_fill,f_auto,h_240,q_auto,w_320/v1571435019/p/photo/image/3234790/WhatsApp_Image_2019-10-18_at_12.02.07_2.jpg",stosa cucine units,,no,False,no,1,1,chile,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00074.jsonl.gz-15879114.jpg
